馬券タイプ,賭ける馬の人気,賭けた回数,当たり回数,収益
三連単,13 → 8 → 1,27761,2,1444880
三連単,9 → 16 → 6,16428,1,1437950
三連単,11 → 3 → 12,30497,3,1434660
三連単,14 → 1 → 10,24767,2,1431540
三連単,3 → 10 → 16,16429,1,1429280
三連複,11 - 12 - 18,3178,1,1410480
三連単,8 → 3 → 12,30500,2,1404970
三連単,11 → 13 → 9,27749,1,1395230
三連単,2 → 11 → 17,3826,1,1389750
三連複,6 - 9 - 17,3932,1,1381300
三連単,9 → 13 → 2,27762,3,1356800
三連単,8 → 5 → 9,35050,10,1356180
三連単,2 → 8 → 16,16430,3,1353030
三連単,5 → 14 → 3,24773,2,1333350
三連単,16 → 8 → 5,16430,1,1315430
三連単,11 → 16 → 15,16405,1,1314180
三連単,11 → 8 → 15,21071,1,1308400
三連単,4 → 10 → 7,34008,10,1304400
三連単,12 → 11 → 5,30494,2,1298260
三連単,6 → 13 → 1,27767,6,1290980
三連単,6 → 14 → 5,24768,1,1287410
三連単,8 → 13 → 16,16416,1,1284990
三連単,7 → 3 → 16,16433,3,1284810
三連単,11 → 5 → 9,32462,1,1278760
三連単,10 → 4 → 3,34012,12,1278620
三連単,6 → 13 → 7,27763,2,1278030
三連単,15 → 2 → 6,21082,1,1271240
三連単,7 → 3 → 17,3826,1,1270910
三連複,7 - 9 - 16,17022,4,1269430
三連複,6 - 11 - 14,25668,2,1267000
三連単,1 → 11 → 17,3826,1,1266930
三連単,15 → 13 → 2,21068,1,1258910
三連単,11 → 3 → 7,32471,3,1250960
三連単,15 → 2 → 12,21072,1,1198510
三連単,13 → 4 → 10,27763,2,1193360
三連単,5 → 14 → 7,24769,5,1192270
三連単,1 → 18 → 4,3100,1,1191810
三連単,9 → 11 → 3,32465,3,1184440
三連単,10 → 5 → 8,33999,3,1182190
三連単,10 → 15 → 11,21072,1,1173020
三連単,9 → 10 → 5,34000,6,1171990
三連単,4 → 14 → 12,24758,2,1163210
三連単,14 → 12 → 15,21045,1,1162020
三連単,6 → 3 → 10,34007,17,1155790
三連単,7 → 9 → 4,35059,9,1151450
三連単,16 → 7 → 1,16433,1,1143110
三連単,16 → 9 → 7,16429,1,1124870
三連単,11 → 17 → 7,3825,1,1122190
三連単,7 → 17 → 3,3826,1,1113990
三連単,5 → 8 → 9,35050,8,1111660
三連単,4 → 9 → 5,35060,10,1107430
三連単,14 → 5 → 4,24772,2,1105780
三連単,10 → 6 → 14,24762,1,1086100
三連単,10 → 5 → 12,30497,1,1080040
三連単,12 → 3 → 6,30505,5,1077250
三連単,15 → 4 → 13,21069,1,1076100
三連単,6 → 5 → 12,30502,5,1073100
三連単,3 → 12 → 4,30510,9,1070680
三連単,6 → 16 → 2,16431,1,1063890
三連単,2 → 14 → 11,24765,2,1058850
三連単,1 → 14 → 2,24774,21,1050610
三連単,9 → 16 → 4,16432,1,1038240
三連単,12 → 6 → 2,30504,3,1024240
三連単,3 → 11 → 9,32465,5,1018750
三連単,8 → 5 → 3,35657,22,1002310
三連単,11 → 1 → 4,32474,20,1000680
三連単,11 → 2 → 10,32463,6,1000260
三連単,4 → 16 → 3,16436,3,993690
三連単,14 → 5 → 8,24763,1,982840
三連単,2 → 13 → 16,16420,1,979440
三連単,12 → 8 → 16,16419,1,968900
三連単,5 → 13 → 2,27768,8,967160
三連単,3 → 9 → 11,32465,3,953080
三連単,7 → 17 → 4,3826,1,952290
